,tool,warning_type,warning_msg,commit_sha,repo,filename,positions,filepath,commit_date,label
0,Spotbugs,MS_SHOULD_BE_FINAL,Field isn't final but should be,9c60a3113feb1c0baaafbb3e3da3efdf7c03c008,https://github.com/RustyPincer/TestRepo,Main.java,"{'start_line': '4', 'start_col': '', 'end_line': '4', 'end_col': ''}",dataset/9c60a3113feb1c0baaafbb3e3da3efdf7c03c008/src/main/java/my_app/Main.java,2022-08-22T14:02:12Z,1
1,Spotbugs,URF_UNREAD_PUBLIC_OR_PROTECTED_FIELD,Unread public/protected field,9c60a3113feb1c0baaafbb3e3da3efdf7c03c008,https://github.com/RustyPincer/TestRepo,Main.java,"{'start_line': '4', 'start_col': '', 'end_line': '4', 'end_col': ''}",dataset/9c60a3113feb1c0baaafbb3e3da3efdf7c03c008/src/main/java/my_app/Main.java,2022-08-22T14:02:12Z,1
2,Spotbugs,MS_SHOULD_BE_FINAL,Field isn't final but should be,9e7aff6b84c90109aacb940b33ee99b085f4be63,https://github.com/RustyPincer/TestRepo,Main.java,"{'start_line': '4', 'start_col': '', 'end_line': '4', 'end_col': ''}",dataset/9e7aff6b84c90109aacb940b33ee99b085f4be63/src/main/java/my_app/Main.java,2022-08-24T13:36:50Z,1
3,Spotbugs,URF_UNREAD_PUBLIC_OR_PROTECTED_FIELD,Unread public/protected field,9e7aff6b84c90109aacb940b33ee99b085f4be63,https://github.com/RustyPincer/TestRepo,Main.java,"{'start_line': '4', 'start_col': '', 'end_line': '4', 'end_col': ''}",dataset/9e7aff6b84c90109aacb940b33ee99b085f4be63/src/main/java/my_app/Main.java,2022-08-24T13:36:50Z,1
4,Spotbugs,MS_SHOULD_BE_FINAL,Field isn't final but should be,7ad2954ad5eabb8adf853b9c6be00f208bcc115e,https://github.com/RustyPincer/TestRepo,Main.java,"{'start_line': '7', 'start_col': '', 'end_line': '7', 'end_col': ''}",dataset/7ad2954ad5eabb8adf853b9c6be00f208bcc115e/src/main/java/my_app/Main.java,2022-08-24T13:54:34Z,1
5,Spotbugs,URF_UNREAD_PUBLIC_OR_PROTECTED_FIELD,Unread public/protected field,7ad2954ad5eabb8adf853b9c6be00f208bcc115e,https://github.com/RustyPincer/TestRepo,Main.java,"{'start_line': '7', 'start_col': '', 'end_line': '7', 'end_col': ''}",dataset/7ad2954ad5eabb8adf853b9c6be00f208bcc115e/src/main/java/my_app/Main.java,2022-08-24T13:54:34Z,1
6,Spotbugs,MS_SHOULD_BE_FINAL,Field isn't final but should be,bd9a574e391c0be29f0f9dbdf44d3e5c003e2e31,https://github.com/RustyPincer/TestRepo,Person.java,"{'start_line': '4', 'start_col': '', 'end_line': '4', 'end_col': ''}",dataset/bd9a574e391c0be29f0f9dbdf44d3e5c003e2e31/src/main/java/my_app/Person.java,2022-08-25T09:21:14Z,1
7,Spotbugs,URF_UNREAD_PUBLIC_OR_PROTECTED_FIELD,Unread public/protected field,bd9a574e391c0be29f0f9dbdf44d3e5c003e2e31,https://github.com/RustyPincer/TestRepo,Person.java,"{'start_line': '4', 'start_col': '', 'end_line': '4', 'end_col': ''}",dataset/bd9a574e391c0be29f0f9dbdf44d3e5c003e2e31/src/main/java/my_app/Person.java,2022-08-25T09:21:14Z,1
8,Spotbugs,MS_SHOULD_BE_FINAL,Field isn't final but should be,368b17da4c080b6f652673d0f10e16c63f1f2cb4,https://github.com/RustyPincer/TestRepo,Worker.java,"{'start_line': '5', 'start_col': '', 'end_line': '5', 'end_col': ''}",dataset/368b17da4c080b6f652673d0f10e16c63f1f2cb4/src/main/java/my_app/Worker.java,2022-08-25T12:08:40Z,1
9,Spotbugs,URF_UNREAD_PUBLIC_OR_PROTECTED_FIELD,Unread public/protected field,368b17da4c080b6f652673d0f10e16c63f1f2cb4,https://github.com/RustyPincer/TestRepo,Worker.java,"{'start_line': '5', 'start_col': '', 'end_line': '5', 'end_col': ''}",dataset/368b17da4c080b6f652673d0f10e16c63f1f2cb4/src/main/java/my_app/Worker.java,2022-08-25T12:08:40Z,1
10,Spotbugs,MS_SHOULD_BE_FINAL,Field isn't final but should be,05ef822386b0818e868f1308522534cc377b3811,https://github.com/RustyPincer/TestRepo,Employee.java,"{'start_line': '4', 'start_col': '', 'end_line': '4', 'end_col': ''}",dataset/05ef822386b0818e868f1308522534cc377b3811/src/main/java/my_app/Employee.java,2022-08-25T12:12:49Z,1
11,Spotbugs,URF_UNREAD_PUBLIC_OR_PROTECTED_FIELD,Unread public/protected field,05ef822386b0818e868f1308522534cc377b3811,https://github.com/RustyPincer/TestRepo,Employee.java,"{'start_line': '4', 'start_col': '', 'end_line': '4', 'end_col': ''}",dataset/05ef822386b0818e868f1308522534cc377b3811/src/main/java/my_app/Employee.java,2022-08-25T12:12:49Z,1
12,Spotbugs,MS_SHOULD_BE_FINAL,Field isn't final but should be,c369751e0fc903b167bc8145ac5ba942d7fce9e1,https://github.com/RustyPincer/TestRepo,Employee.java,"{'start_line': '5', 'start_col': '', 'end_line': '5', 'end_col': ''}",dataset/c369751e0fc903b167bc8145ac5ba942d7fce9e1/src/main/java/my_app/Employee.java,2022-08-29T07:38:46Z,1
13,Spotbugs,MS_SHOULD_BE_FINAL,Field isn't final but should be,c369751e0fc903b167bc8145ac5ba942d7fce9e1,https://github.com/RustyPincer/TestRepo,Employee.java,"{'start_line': '4', 'start_col': '', 'end_line': '4', 'end_col': ''}",dataset/c369751e0fc903b167bc8145ac5ba942d7fce9e1/src/main/java/my_app/Employee.java,2022-08-29T07:38:46Z,1
14,Spotbugs,URF_UNREAD_PUBLIC_OR_PROTECTED_FIELD,Unread public/protected field,c369751e0fc903b167bc8145ac5ba942d7fce9e1,https://github.com/RustyPincer/TestRepo,Employee.java,"{'start_line': '5', 'start_col': '', 'end_line': '5', 'end_col': ''}",dataset/c369751e0fc903b167bc8145ac5ba942d7fce9e1/src/main/java/my_app/Employee.java,2022-08-29T07:38:46Z,1
15,Spotbugs,URF_UNREAD_PUBLIC_OR_PROTECTED_FIELD,Unread public/protected field,c369751e0fc903b167bc8145ac5ba942d7fce9e1,https://github.com/RustyPincer/TestRepo,Employee.java,"{'start_line': '4', 'start_col': '', 'end_line': '4', 'end_col': ''}",dataset/c369751e0fc903b167bc8145ac5ba942d7fce9e1/src/main/java/my_app/Employee.java,2022-08-29T07:38:46Z,1
16,Spotbugs,MS_SHOULD_BE_FINAL,Field isn't final but should be,a86812d2c179ae73e10c38ed44344d50fccde8da,https://github.com/RustyPincer/TestRepo,Employee.java,"{'start_line': '6', 'start_col': '', 'end_line': '6', 'end_col': ''}",dataset/a86812d2c179ae73e10c38ed44344d50fccde8da/src/main/java/my_app/Employee.java,2022-08-29T08:38:05Z,1
17,Spotbugs,MS_SHOULD_BE_FINAL,Field isn't final but should be,a86812d2c179ae73e10c38ed44344d50fccde8da,https://github.com/RustyPincer/TestRepo,Employee.java,"{'start_line': '4', 'start_col': '', 'end_line': '4', 'end_col': ''}",dataset/a86812d2c179ae73e10c38ed44344d50fccde8da/src/main/java/my_app/Employee.java,2022-08-29T08:38:05Z,1
18,Spotbugs,URF_UNREAD_PUBLIC_OR_PROTECTED_FIELD,Unread public/protected field,a86812d2c179ae73e10c38ed44344d50fccde8da,https://github.com/RustyPincer/TestRepo,Employee.java,"{'start_line': '6', 'start_col': '', 'end_line': '6', 'end_col': ''}",dataset/a86812d2c179ae73e10c38ed44344d50fccde8da/src/main/java/my_app/Employee.java,2022-08-29T08:38:05Z,1
19,Spotbugs,URF_UNREAD_PUBLIC_OR_PROTECTED_FIELD,Unread public/protected field,a86812d2c179ae73e10c38ed44344d50fccde8da,https://github.com/RustyPincer/TestRepo,Employee.java,"{'start_line': '4', 'start_col': '', 'end_line': '4', 'end_col': ''}",dataset/a86812d2c179ae73e10c38ed44344d50fccde8da/src/main/java/my_app/Employee.java,2022-08-29T08:38:05Z,1
20,Spotbugs,MS_SHOULD_BE_FINAL,Field isn't final but should be,a0b684c310f99f85466ed4f765c1f50a855145a1,https://github.com/RustyPincer/TestRepo,Employee.java,"{'start_line': '6', 'start_col': '', 'end_line': '6', 'end_col': ''}",dataset/a0b684c310f99f85466ed4f765c1f50a855145a1/src/main/java/my_app/Employee.java,2022-08-30T11:14:09Z,1
21,Spotbugs,URF_UNREAD_PUBLIC_OR_PROTECTED_FIELD,Unread public/protected field,a0b684c310f99f85466ed4f765c1f50a855145a1,https://github.com/RustyPincer/TestRepo,Employee.java,"{'start_line': '6', 'start_col': '', 'end_line': '6', 'end_col': ''}",dataset/a0b684c310f99f85466ed4f765c1f50a855145a1/src/main/java/my_app/Employee.java,2022-08-30T11:14:09Z,1
